group,id,course,semester,grade
1,33,Archery and Marksmanship,1,7
1,33,Archery and Marksmanship,1,6.5
1,33,Archery and Marksmanship,1,7.75
1,33,Archery and Marksmanship,1,11.25
1,33,Archery and Marksmanship,1,8
1,33,Bushido and Samurai Code,1,11.75
1,33,Bushido and Samurai Code,1,11.25
1,33,Bushido and Samurai Code,1,14.75
1,33,Bushido and Samurai Code,1,12
1,33,Bushido and Samurai Code,1,12.75
1,33,Bushido and Samurai Code,1,11
1,33,Bushido and Samurai Code,1,13.25
1,33,Bushido and Samurai Code,1,15.25
1,33,Calligraphy and Poetry,2,10.5
1,33,Calligraphy and Poetry,2,12
1,33,Calligraphy and Poetry,2,7.25
1,33,Calligraphy and Poetry,2,9.5
1,33,Calligraphy and Poetry,2,9.5
1,33,Calligraphy and Poetry,2,10.25
1,33,History of Feudal Japan,2,10
1,33,History of Feudal Japan,2,11.5
1,33,History of Feudal Japan,2,12
1,33,Kenjutsu and Swordsmanship,2,12.5
1,33,Kenjutsu and Swordsmanship,2,13.8
1,33,Kenjutsu and Swordsmanship,2,10.2
1,33,Ninjutsu and Stealth Arts,1,9.5
1,33,Ninjutsu and Stealth Arts,1,12
1,33,Ninjutsu and Stealth Arts,1,10.5
1,33,Ninjutsu and Stealth Arts,1,12
1,33,Ninjutsu and Stealth Arts,1,15.5
1,33,Ninjutsu and Stealth Arts,1,11.5
1,33,Ninjutsu and Stealth Arts,1,14.5
1,33,Onmyodo and Occult Arts,1,11
1,33,Onmyodo and Occult Arts,1,10.5
1,33,Onmyodo and Occult Arts,1,11.5
1,33,Onmyodo and Occult Arts,1,10
1,33,Onmyodo and Occult Arts,1,11
1,33,Onmyodo and Occult Arts,1,11.5
1,33,Shinto and Buddhist Philosophy,2,13.25
1,33,Shinto and Buddhist Philosophy,2,9.75
1,33,Shinto and Buddhist Philosophy,2,11.5
1,33,Shinto and Buddhist Philosophy,2,17.25
1,33,Shinto and Buddhist Philosophy,2,12.75
1,33,Shinto and Buddhist Philosophy,2,7.25
1,33,Strategy and Tactics,2,11
1,33,Strategy and Tactics,2,8.5
1,33,Strategy and Tactics,2,17
1,33,Tea Ceremony and Zen Meditation,1,6.75
1,33,Tea Ceremony and Zen Meditation,1,6.75
1,33,Tea Ceremony and Zen Meditation,1,6
1,33,Tea Ceremony and Zen Meditation,1,5
1,61,Archery and Marksmanship,1,8.25
1,61,Archery and Marksmanship,1,3.25
1,61,Archery and Marksmanship,1,5.75
1,61,Archery and Marksmanship,1,5.5
1,61,Archery and Marksmanship,1,6
1,61,Bushido and Samurai Code,1,10.75
1,61,Bushido and Samurai Code,1,12.5
1,61,Bushido and Samurai Code,1,13.75
1,61,Bushido and Samurai Code,1,9.75
1,61,Bushido and Samurai Code,1,12
1,61,Bushido and Samurai Code,1,11.25
1,61,Bushido and Samurai Code,1,10.5
1,61,Bushido and Samurai Code,1,9.5
1,61,Calligraphy and Poetry,2,8.75
1,61,Calligraphy and Poetry,2,11.5
1,61,Calligraphy and Poetry,2,11
1,61,Calligraphy and Poetry,2,10.75
